#####################################################################
#                 NEPTUNE Txys interpolation data                   #
#####################################################################
#	      MJD           x                   y                s
        42473.5 -0.002381188518480 -0.22662226727D-04 -0.14598525D-07
        42474.0 -0.002381068548226 -0.22758769591D-04 -0.14714858D-07
        42474.5 -0.002380929381221 -0.22843931744D-04 -0.14817915D-07
        42475.0 -0.002380774754357 -0.22913380781D-04 -0.14902493D-07
        42475.5 -0.002380608926807 -0.22964092580D-04 -0.14964931D-07
        42476.0 -0.002380436369182 -0.22994303486D-04 -0.15003060D-07
        42476.5 -0.002380261513463 -0.23003401301D-04 -0.15016078D-07
        42477.0 -0.002380088563272 -0.22991783467D-04 -0.15004390D-07
        42477.5 -0.002379921357533 -0.22960703812D-04 -0.14969427D-07
        42478.0 -0.002379763277039 -0.22912122026D-04 -0.14913473D-07
        42478.5 -0.002379617182417 -0.22848563225D-04 -0.14839496D-07
        42479.0 -0.002379485373381 -0.22772989369D-04 -0.14751000D-07
        42479.5 -0.002379369562152 -0.22688680784D-04 -0.14651879D-07
        42480.0 -0.002379270857323 -0.22599124808D-04 -0.14546285D-07
        42480.5 -0.002379189756969 -0.22507909013D-04 -0.14438498D-07
        42481.0 -0.002379126151049 -0.22418617428D-04 -0.14332800D-07
        42481.5 -0.002379079333452 -0.22334728901D-04 -0.14233351D-07
        42482.0 -0.002379048024290 -0.22259517102D-04 -0.14144071D-07
        42482.5 -0.002379030403598 -0.22195952164D-04 -0.14068517D-07
        42483.0 -0.002379024158333 -0.22146605120D-04 -0.14009776D-07
        42483.5 -0.002379026544682 -0.22113557872D-04 -0.13970351D-07
        42484.0 -0.002379034466818 -0.22098322903D-04 -0.13952070D-07
        42484.5 -0.002379044571467 -0.22101777319D-04 -0.13956005D-07
        42485.0 -0.002379053355851 -0.22124115153D-04 -0.13982419D-07
        42485.5 -0.002379057285400 -0.22164820466D-04 -0.14030733D-07
        42486.0 -0.002379052917465 -0.22222662633D-04 -0.14099518D-07
        42486.5 -0.002379037027648 -0.22295714723D-04 -0.14186520D-07
        42487.0 -0.002379006735638 -0.22381395854D-04 -0.14288705D-07
        42487.5 -0.002378959627274 -0.22476538230D-04 -0.14402339D-07
        42488.0 -0.002378893869180 -0.22577478795D-04 -0.14523097D-07
        42488.5 -0.002378808312195 -0.22680174296D-04 -0.14646191D-07
        42489.0 -0.002378702580211 -0.22780337828D-04 -0.14766535D-07
        42489.5 -0.002378577141581 -0.22873595264D-04 -0.14878927D-07
        42490.0 -0.002378433360147 -0.22955661244D-04 -0.14978254D-07
        42490.5 -0.002378273521468 -0.23022535463D-04 -0.15059727D-07
        42491.0 -0.002378100827172 -0.23070719607D-04 -0.15119140D-07
        42491.5 -0.002377919347242 -0.23097452383D-04 -0.15153149D-07
        42492.0 -0.002377733917797 -0.23100954841D-04 -0.15159569D-07
        42492.5 -0.002377549971413 -0.23080671362D-04 -0.15137662D-07
        42493.0 -0.002377373289184 -0.23037484101D-04 -0.15088402D-07
        42493.5 -0.002377209668981 -0.22973871057D-04 -0.15014667D-07
        42494.0 -0.002377064514094 -0.22893971178D-04 -0.14921321D-07
        42494.5 -0.002376942361348 -0.22803516121D-04 -0.14815135D-07
        42495.0 -0.002376846387859 -0.22709591471D-04 -0.14704514D-07
        42495.5 -0.002376777957381 -0.22620204805D-04 -0.14598977D-07
        42496.0 -0.002376736284101 -0.22543666731D-04 -0.14508425D-07
        42496.5 -0.002376718294923 -0.22487831326D-04 -0.14442239D-07
        42497.0 -0.002376718753495 -0.22459285290D-04 -0.14408309D-07
        42497.5 -0.002376730669194 -0.22462606812D-04 -0.14412150D-07
        42498.0 -0.002376745959001 -0.22499821963D-04 -0.14456253D-07
        42498.5 -0.002376756274261 -0.22570161202D-04 -0.14539784D-07
        42499.0 -0.002376753864913 -0.22670164743D-04 -0.14658712D-07
        42499.5 -0.002376732344055 -0.22794117031D-04 -0.14806309D-07
        42500.0 -0.002376687239230 -0.22934727267D-04 -0.14973964D-07
        42500.5 -0.002376616266013 -0.23083932498D-04 -0.15152128D-07
        42501.0 -0.002376519318640 -0.23233691858D-04 -0.15331258D-07
        42501.5 -0.002376398224312 -0.23376662963D-04 -0.15502618D-07
        42502.0 -0.002376256339728 -0.23506693297D-04 -0.15658868D-07
        42502.5 -0.002376098076401 -0.23619105543D-04 -0.15794403D-07
        42503.0 -0.002375928429464 -0.23710793812D-04 -0.15905470D-07
        42503.5 -0.002375752561860 -0.23780170794D-04 -0.15990114D-07
        42504.0 -0.002375575471254 -0.23827013976D-04 -0.16047999D-07
        42504.5 -0.002375401746747 -0.23852256151D-04 -0.16080163D-07
        42505.0 -0.002375235408929 -0.23857756636D-04 -0.16088756D-07
        42505.5 -0.002375079819353 -0.23846078938D-04 -0.16076774D-07
        42506.0 -0.002374937642571 -0.23820290342D-04 -0.16047826D-07
        42506.5 -0.002374810844008 -0.23783790149D-04 -0.16005930D-07
        42507.0 -0.002374700709201 -0.23740166636D-04 -0.15955341D-07
        42507.5 -0.002374607873606 -0.23693078582D-04 -0.15900409D-07
        42508.0 -0.002374532356248 -0.23646155468D-04 -0.15845460D-07
        42508.5 -0.002374473594186 -0.23602910549D-04 -0.15794685D-07
        42509.0 -0.002374430477257 -0.23566662030D-04 -0.15752049D-07
        42509.5 -0.002374401384055 -0.23540458643D-04 -0.15721197D-07
        42510.0 -0.002374384220929 -0.23527006747D-04 -0.15705369D-07
        42510.5 -0.002374376466563 -0.23528596980D-04 -0.15707311D-07
        42511.0 -0.002374375225529 -0.23547029971D-04 -0.15729189D-07
        42511.5 -0.002374377294675 -0.23583542839D-04 -0.15772499D-07
        42512.0 -0.002374379245826 -0.23638740685D-04 -0.15837991D-07
        42512.5 -0.002374377526764 -0.23712539159D-04 -0.15925598D-07
        42513.0 -0.002374368580199 -0.23804124938D-04 -0.16034388D-07
        42513.5 -0.002374348977930 -0.23911940429D-04 -0.16162550D-07
        42514.0 -0.002374315565462 -0.24033697831D-04 -0.16307407D-07
        42514.5 -0.002374265610849 -0.24166426392D-04 -0.16465471D-07
        42515.0 -0.002374196950553 -0.24306555446D-04 -0.16632537D-07
        42515.5 -0.002374108124207 -0.24450034364D-04 -0.16803826D-07
        42516.0 -0.002373998489439 -0.24592488337D-04 -0.16974167D-07
        42516.5 -0.002373868307723 -0.24729406036D-04 -0.17138214D-07
        42517.0 -0.002373718792931 -0.24856351971D-04 -0.17290697D-07
        42517.5 -0.002373552116052 -0.24969193897D-04 -0.17426695D-07
        42518.0 -0.002373371361915 -0.25064334362D-04 -0.17541900D-07
        42518.5 -0.002373180436062 -0.25138935407D-04 -0.17632895D-07
        42519.0 -0.002372983921702 -0.25191125822D-04 -0.17697396D-07
        42519.5 -0.002372786887816 -0.25220180117D-04 -0.17734466D-07
        42520.0 -0.002372594650655 -0.25226657202D-04 -0.17744691D-07
        42520.5 -0.002372412492848 -0.25212484922D-04 -0.17730277D-07
        42521.0 -0.002372245347644 -0.25180974940D-04 -0.17695082D-07
